id,price,brand,name,ratingAverage,ratingCount,reviewCount,minPurchaseCount,recommendationRate,complaintRate,ratings
6228593,4445.31,GUZZANTI,Guzzanti GZ 24G,5.0,2,1,200,1.0,0.0045,"[0, 0, 0, 0, 2]"
7760112,19089.43,SIEMENS,SIEMENS KI41RADD1,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
5864845,23822.76,ELECTROLUX,ELECTROLUX LNT7ME34G1,4.0,1,1,0,1.0,0.0,"[0, 0, 0, 1, 0]"
6572876,6469.00,PHILCO,PHILCO PC 165 E,2.0,1,1,100,0.0,0.0145,"[0, 1, 0, 0, 0]"
6926628,12763.53,SNAIGE,SNAIGE CC35DM-P600FD,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
6862243,15010.10,SIEMENS,SIEMENS KU15RADF0,,0,0,50,,0.0,"[0, 0, 0, 0, 0]"
7763377,17755.25,ELECTROLUX,ELECTROLUX 600 DynamicAir LRS2DE39W,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7763376,15911.15,ELECTROLUX,ELECTROLUX 700 MultiFlow LRT6ME38W1,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7414459,17927.08,AEG,AEG SCB819F8FS LowFrost,1.0,1,1,10,0.0,0.0,"[1, 0, 0, 0, 0]"
7789595,21808.68,Bosch,BOSCH KGE398XBA,3.0,1,1,0,0.0,0.0,"[0, 0, 1, 0, 0]"
7359971,30912.09,HAIER,HAIER HSR5918DIPB,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6389835,18490.00,PHILCO,PHILCO PTL 1772 EBI,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7962435,17537.53,AEG,AEG 6000 Twintech OSC6N181ES,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7997042,15050.60,LIEBHERR,LIEBHERR ICNSf 5103,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7699199,18878.87,Concept,CONCEPT LKR7460bcr Retro R,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7763380,18490.00,ELECTROLUX,ELECTROLUX 500 ColdSense LND5FE18S,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7761159,21024.16,Samsung,SAMSUNG Bespoke RB38C7B6D41/EF  ,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7888807,10851.26,BEKO,BEKO Beyond B5RCNA405HG,3.0,1,1,0,0.0,0.0,"[0, 0, 1, 0, 0]"
6318112,13118.25,LIEBHERR,LIEBHERR CU 331,,0,0,50,,0.0132,"[0, 0, 0, 0, 0]"
